category,course,lesson,txt_path,video_path,has_sd,has_ld,audio_path,youtube_vid,title,short_title
对话,04 修行者说-索达吉堪布对话范彼德教授,对话范彼德教授8-宗教与科学：少为人知的关联,,,0.0,0.0,对话/04 修行者说-索达吉堪布对话范彼德教授/对话范彼德教授8-宗教与科学：少为人知的关联.m4a,rAWInUUDPJk,索达吉堪布对话范彼德教授,8、宗教与科学：少为人知的关联
对话,04 修行者说-索达吉堪布对话范彼德教授,对话范彼德教授9-科研虽重，生命弥珍,,,0.0,0.0,对话/04 修行者说-索达吉堪布对话范彼德教授/对话范彼德教授9-科研虽重，生命弥珍.m4a,FhAd5bLqSt0,索达吉堪布对话范彼德教授,9、科研虽重，生命弥珍
对话,04 修行者说-索达吉堪布对话范彼德教授,对话范彼德教授10-诺贝尔奖得主的摇篮,,,0.0,0.0,对话/04 修行者说-索达吉堪布对话范彼德教授/对话范彼德教授10-诺贝尔奖得主的摇篮.m4a,VCOLZ0f0hb0,索达吉堪布对话范彼德教授,10、诺贝尔奖得主的摇篮
对话,04 修行者说-索达吉堪布对话范彼德教授,对话范彼德教授11-德国：“人杰”因为“地灵”？,,,0.0,0.0,对话/04 修行者说-索达吉堪布对话范彼德教授/对话范彼德教授11-德国：“人杰”因为“地灵”？.m4a,AL4cp0cHt9U,索达吉堪布对话范彼德教授,11、德国：“人杰”因为“地灵”？
对话,04 修行者说-索达吉堪布对话范彼德教授,对话范彼德教授12-上海：消失的宗教场所,,,0.0,0.0,对话/04 修行者说-索达吉堪布对话范彼德教授/对话范彼德教授12-上海：消失的宗教场所.m4a,8rHpalE5eYs,索达吉堪布对话范彼德教授,12、上海：消失的宗教场所
对话,04 修行者说-索达吉堪布对话范彼德教授,对话范彼德教授13-期待——相约喇荣再慧晤,,,0.0,0.0,对话/04 修行者说-索达吉堪布对话范彼德教授/对话范彼德教授13-期待——相约喇荣再慧晤.m4a,mkvfzJpSZEk,索达吉堪布对话范彼德教授,13、期待——相约喇荣再慧晤
对话,04 修行者说-索达吉堪布对话范彼德教授,对话范彼德教授14-地球：多元才更美,,,0.0,0.0,对话/04 修行者说-索达吉堪布对话范彼德教授/对话范彼德教授14-地球：多元才更美.m4a,o2gPs9WSIDA,索达吉堪布对话范彼德教授,14、地球：多元才更美
社会演讲,04 北京雨枫书馆-从佛学角度看纸媒的未来,从佛学角度看纸媒的未来-演讲-北京雨枫书馆,,,0.0,0.0,社会演讲/04 北京雨枫书馆-从佛学角度看纸媒的未来/从佛学角度看纸媒的未来-演讲-北京雨枫书馆.m4a,Q1aYnhRO59E,从佛学角度看纸媒的未来,演讲
社会演讲,04 北京雨枫书馆-从佛学角度看纸媒的未来,从佛学角度看纸媒的未来-问答-北京雨枫书馆,,,0.0,0.0,社会演讲/04 北京雨枫书馆-从佛学角度看纸媒的未来/从佛学角度看纸媒的未来-问答-北京雨枫书馆.m4a,0WwnM3BmneQ,从佛学角度看纸媒的未来,问答
大学演讲,04 红尘中的净土,心净国土净-演讲-香港中文大学,大学演讲/04 红尘中的净土/心净国土净-演讲-香港中文大学.html,,0.0,0.0,大学演讲/04 红尘中的净土/心净国土净-演讲-香港中文大学.m4a,UgZdL_l9NDg,香港中文大学,演讲：心净国土净
大学演讲,04 红尘中的净土,心净国土净-问答-香港中文大学,大学演讲/04 红尘中的净土/心净国土净-问答-香港中文大学.html,,0.0,0.0,大学演讲/04 红尘中的净土/心净国土净-问答-香港中文大学.m4a,jVl5X8ljOKE,香港中文大学,问答
大学演讲,04 红尘中的净土,怎样面对痛苦-演讲-香港理工大学,大学演讲/04 红尘中的净土/怎样面对痛苦-演讲-香港理工大学.html,,0.0,0.0,大学演讲/04 红尘中的净土/怎样面对痛苦-演讲-香港理工大学.m4a,hF-PREsp2GU,香港理工大学,演讲：怎样面对痛苦
大学演讲,04 红尘中的净土,怎样面对痛苦-问答-香港理工大学,大学演讲/04 红尘中的净土/怎样面对痛苦-问答-香港理工大学.html,,0.0,0.0,大学演讲/04 红尘中的净土/怎样面对痛苦-问答-香港理工大学.m4a,HJFZx4mMpxk,香港理工大学,问答
